,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
44776,-1.873579,-0.20911106,41417_1640_D3_1,0 5,"Nucleoplasm,N. bodies",INO80,ENSG00000128908,RT4,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
44777,-3.6493115,-3.3076324,41417_1640_D3_2,0 5,"Nucleoplasm,N. bodies",INO80,ENSG00000128908,RT4,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
45115,-4.729081,-3.9608028,41484_1640_E3_2,0 5,"Nucleoplasm,N. bodies",INO80,ENSG00000128908,RT4,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
45116,-4.1308794,-3.3981326,41484_1640_E3_3,0 5,"Nucleoplasm,N. bodies",INO80,ENSG00000128908,RT4,Q9ULG1 A0A087X0U7 H0YKH3 H0YMN5 H0YNL3
46180,3.2281408,2.4924223,17578_168_H6_2,25,Cytosol,ABCF1,ENSG00000204574,U-2 OS,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
46181,3.5227365,2.7133062,17578_168_H6_1,25,Cytosol,ABCF1,ENSG00000204574,U-2 OS,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
46190,3.4979718,2.5826085,17578_140_H6_2,25,Cytosol,ABCF1,ENSG00000204574,U-251 MG,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
46191,3.0697305,2.4054813,17578_140_H6_1,25,Cytosol,ABCF1,ENSG00000204574,U-251 MG,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
46200,3.3253102,2.5353663,17578_173_H6_1,25,Cytosol,ABCF1,ENSG00000204574,A-431,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
46201,3.3803244,2.6080368,17578_173_H6_2,25,Cytosol,ABCF1,ENSG00000204574,A-431,Q8NE71 F5GYK6 H0YGW7 Q5STZ8
48796,2.753991,4.1926928,12428_617_F4_2,25,Cytosol,PA2G4,ENSG00000170515,A-431,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48797,2.774515,4.227777,12428_617_F4_1,25,Cytosol,PA2G4,ENSG00000170515,A-431,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48798,2.9582458,4.7153482,12428_613_F4_2,25,Cytosol,PA2G4,ENSG00000170515,U-2 OS,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48799,2.9401102,4.6217127,12428_613_F4_1,25,Cytosol,PA2G4,ENSG00000170515,U-2 OS,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48800,2.9653072,4.568065,12428_610_F4_2,25,Cytosol,PA2G4,ENSG00000170515,U-251 MG,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48801,2.8933477,4.4319286,12428_610_F4_1,25,Cytosol,PA2G4,ENSG00000170515,U-251 MG,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48996,1.292035,1.3269719,11711_640_D3_2,25,Cytosol,PA2G4,ENSG00000170515,A-431,Q9UQ80 F8VR77 F8VZ69 F8W0A3
48997,1.3599938,1.4265146,11711_640_D3_1,25,Cytosol,PA2G4,ENSG00000170515,A-431,Q9UQ80 F8VR77 F8VZ69 F8W0A3
50846,1.3436947,1.5305068,50778_760_C7_2,25,Cytosol,RP9,ENSG00000164610,U-2 OS,Q8TA86 C9J6V2
50847,4.3114967,-0.10441401,50778_760_C7_1,25,Cytosol,RP9,ENSG00000164610,U-2 OS,Q8TA86 C9J6V2
51046,1.6880938,1.9781709,4226_669_B2_1,25,Cytosol,EIF5,ENSG00000100664,U-2 OS,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
51055,2.356947,2.3347173,4226_671_B2_3,25,Cytosol,EIF5,ENSG00000100664,A-431,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
51056,2.3223753,2.3241682,4226_671_B2_2,25,Cytosol,EIF5,ENSG00000100664,A-431,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
51057,1.8370744,2.1255956,4226_669_B2_2,25,Cytosol,EIF5,ENSG00000100664,U-2 OS,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
51058,2.1727722,2.0435257,4226_666_B2_3,25,Cytosol,EIF5,ENSG00000100664,U-251 MG,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
51060,2.3363035,2.0306358,4226_666_B2_1,25,Cytosol,EIF5,ENSG00000100664,U-251 MG,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
52120,3.4511905,2.8551152,74408_1641_F9_3,25,Cytosol,AP3D1,ENSG00000065000,RT4,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52121,3.4882956,2.8400662,74408_1641_F9_2,25,Cytosol,AP3D1,ENSG00000065000,RT4,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52122,2.9023314,2.5137234,74408_1615_G7_3,25,Cytosol,AP3D1,ENSG00000065000,U-2 OS,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52123,3.0077705,2.8059413,74408_1615_G7_2,25,Cytosol,AP3D1,ENSG00000065000,U-2 OS,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52124,3.2328043,2.8770883,74408_1605_G7_3,25,Cytosol,AP3D1,ENSG00000065000,MCF7,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52125,3.367343,2.6368797,74408_1605_G7_2,25,Cytosol,AP3D1,ENSG00000065000,MCF7,O14617 A0A087WYN6 A0A2R8Y4J3 A0A2R8Y611 A0A2R8YCY8 K7ELX8 K7ERW8
52426,2.8928473,2.0707493,867_11_E11_2,25,Cytosol,EIF5,ENSG00000100664,A-431,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
52427,2.3088129,2.1962693,867_11_E11_1,25,Cytosol,EIF5,ENSG00000100664,A-431,P55010 H0YK11 H0YK29 H0YLZ1 H0YM54 H0YMJ8 H0YN40
54389,2.1103523,1.5789765,2697_32_D10_2,25,Cytosol,SSRP1,ENSG00000149136,U-2 OS,Q08945 A0A0U1RRK2 E9PMD4 E9PPZ7
54390,0.8727664,1.7515665,2697_32_D10_1,25,Cytosol,SSRP1,ENSG00000149136,U-2 OS,Q08945 A0A0U1RRK2 E9PMD4 E9PPZ7
56079,2.8135395,4.1548424,39892_560_H4_4,25,Cytosol,C11orf57,ENSG00000150776,A-431,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56080,2.830634,4.2921057,39892_560_H4_3,25,Cytosol,C11orf57,ENSG00000150776,A-431,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56081,2.1881294,1.5835996,39892_554_H4_2,25,Cytosol,C11orf57,ENSG00000150776,U-251 MG,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56082,2.2766325,1.5231384,39892_554_H4_1,25,Cytosol,C11orf57,ENSG00000150776,U-251 MG,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56083,1.9357582,1.3899896,39892_551_H4_2,25,Cytosol,C11orf57,ENSG00000150776,U-2 OS,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56084,2.1093745,1.325728,39892_551_H4_1,25,Cytosol,C11orf57,ENSG00000150776,U-2 OS,Q6ZUT1 E9PKA8 E9PPH9 E9PQL5 E9PSC8
56171,2.864553,2.1869538,40095_964_B1_2,25,Cytosol,EIF5B,ENSG00000158417,MCF7,O60841 A0A087WUT6
56172,3.3350806,2.9068825,40095_964_B1_1,25,Cytosol,EIF5B,ENSG00000158417,MCF7,O60841 A0A087WUT6
56173,3.295781,2.7600477,40095_804_B1_3,25,Cytosol,EIF5B,ENSG00000158417,HEK 293,O60841 A0A087WUT6
