,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
7294,-2.1250184,-6.4421496,19071_183_B3_1,0 3 14,"Nucleoplasm,N. fibrillar c.,Microtubules",TWISTNB,ENSG00000105849,U-251 MG,Q3B726
7315,0.21391685,-4.6317053,54837_895_H3_3,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",TTF1,ENSG00000125482,U-2 OS,Q15361 A0A087WY09
7316,-0.09256173,-4.7188044,54837_895_H3_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",TTF1,ENSG00000125482,U-2 OS,Q15361 A0A087WY09
7810,-0.7425197,-4.2254095,40930_560_H5_5,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",FAM98C,ENSG00000130244,A-431,Q17RN3 K7EQL1 K7EQT7 K7ES49
7811,-0.86436987,-3.1519654,40930_1208_B2_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",FAM98C,ENSG00000130244,MCF7,Q17RN3 K7EQL1 K7EQT7 K7ES49
7812,-0.59261066,-3.659884,40930_1208_B2_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",FAM98C,ENSG00000130244,MCF7,Q17RN3 K7EQL1 K7EQT7 K7ES49
7823,-1.189797,-0.8662935,40930_560_H5_4,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",FAM98C,ENSG00000130244,A-431,Q17RN3 K7EQL1 K7EQT7 K7ES49
7960,-1.7342104,-5.523679,76524_1676_H9_2,0 2 18,"Nucleoplasm,Nucleoli,MTOC",CHD3,ENSG00000170004,REH,Q12873 A0A5F9ZHM2 A0A5F9ZHX5 H7C0J3 H7C2H0 H7C3H7 I3L1I4 I3L229 K7EPV1
7961,-0.9244111,-3.1830125,76524_1676_H9_3,0 2 18,"Nucleoplasm,Nucleoli,MTOC",CHD3,ENSG00000170004,REH,Q12873 A0A5F9ZHM2 A0A5F9ZHX5 H7C0J3 H7C2H0 H7C3H7 I3L1I4 I3L229 K7EPV1
17426,1.1884087,-3.4111354,11224_108_C10_1,2 25,"Nucleoli,Cytosol",EFCAB14,ENSG00000159658,A-431,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
17428,1.0526706,-3.5067244,11224_108_C10_2,2 25,"Nucleoli,Cytosol",EFCAB14,ENSG00000159658,A-431,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
17437,1.2685286,-3.301213,11224_87_C10_1,2 25,"Nucleoli,Cytosol",EFCAB14,ENSG00000159658,U-2 OS,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
17439,1.1402661,-3.4213898,11224_87_C10_2,2 25,"Nucleoli,Cytosol",EFCAB14,ENSG00000159658,U-2 OS,O75071 A0A5F9ZHQ6 A0A6I8PIF8 A0A6I8PIP2 A0A6I8PS42 A0A6I8PU78 S4R3Q1
19290,-2.1192315,2.944973,54837_893_H3_2,0 21,"Nucleoplasm,PM",TTF1,ENSG00000125482,A-431,Q15361 A0A087WY09
19291,-2.1065211,-3.1481671,54837_893_H3_1,0 21,"Nucleoplasm,PM",TTF1,ENSG00000125482,A-431,Q15361 A0A087WY09
20654,0.98366797,-4.595896,41079_475_H11_2,2 25,"Nucleoli,Cytosol",KNOP1,ENSG00000103550,A-431,Q1ED39 H3BMC9 H3BNU8 H3BPL4
