wavelength	ph6		ph6.5		ph7		ph7.5		ph8
578.8		8998.651	3318.137	588.929		2643.712	2315.164
596.4		10005.768	3600.408	696.875		3155.459	3231.141
605.2		9742.897	3601.558	763.131		3654.502	4382.734
614		8577.223	3585.18		904.837		4282.34		5892.804
622.8		7418.715	3551.407	928.763		4811.734	7239.855
631.6		6682.75		3622.912	1022.523	5285.027	8336.118
640.4		6132.779	3543.355	994.015		5444.184	8812.566
649.2		5583.804	3282.202	975.561		5182.507	8470.677
658		4537.437	2658.492	791.241		4398.109	7252.528
666.8		3509.054	2051.637	646.772		3488.998	5715.144
675.6		2634.039	1521.549	465.974		2625.688	4340.841
684.4		1940.316	1136.802	372.55		1946.96		3215.208
693.2		1231.959	719.687		217.481		1226.144	2044.883
