Gene	Ensembl	Uniprot
LRP12	ENSG00000147650	Q9Y561
LRRC26	ENSG00000184709	Q2I0M4
LRRC47	ENSG00000130764	Q8N1G4
LSM7	ENSG00000130332	Q9UK45
MALT1	ENSG00000172175	Q9UDY8
MAP3K14	ENSG00000006062	Q99558
METTL5	ENSG00000138382	Q9NRN9
MLLT1	ENSG00000130382	Q03111
MON2	ENSG00000061987	Q7Z3U7
MRI1	ENSG00000037757	Q9BV20
MRPL23	ENSG00000214026	Q16540
MSH5	ENSG00000204410	O43196
MUS81	ENSG00000172732	Q96NY9
MYRIP	ENSG00000170011	Q8NFW9
N4BP1	ENSG00000102921	O75113
NECTIN2	ENSG00000130202	Q92692
NFIB	ENSG00000147862	O00712
NFIC	ENSG00000141905	P08651
NFKBIE	ENSG00000146232	O00221
NHEJ1	ENSG00000187736	Q9H9Q4
NKD1	ENSG00000140807	Q969G9
NKX1-1	ENSG00000235608	Q15270
NKX1-2	ENSG00000229544	Q9UD57
NOLC1	ENSG00000166197	Q14978
NONO	ENSG00000147140	Q15233
NOP56	ENSG00000101361	O00567
NOP58	ENSG00000055044	Q9Y2X3
NUAK1	ENSG00000074590	O60285
NUSAP1	ENSG00000137804	Q9BXS6
OGDHL	ENSG00000197444	Q9ULD0
OMD	ENSG00000127083	Q99983
OPLAH	ENSG00000178814	O14841
ORC6	ENSG00000091651	Q9Y5N6
OTP	ENSG00000171540	Q5XKR4
OTUD5	ENSG00000068308	Q96G74
PAF1	ENSG00000006712	Q8N7H5
PAGE1	ENSG00000068985	O75459
PAK6	ENSG00000137843	Q9NQU5
PARS2	ENSG00000162396	Q7L3T8
PCP4	ENSG00000183036	P48539
PDIA5	ENSG00000065485	Q14554
PDZD8	ENSG00000165650	Q8NEN9
PELO	ENSG00000152684	Q9BRX2
PEX14	ENSG00000142655	O75381
PHF21B	ENSG00000056487	Q96EK2
PLRG1	ENSG00000171566	O43660
POLR1A	ENSG00000068654	O95602
POLR1B	ENSG00000125630	Q9H9Y6
POLR1C	ENSG00000171453	O15160
POLR1E	ENSG00000137054	Q9GZS1
POLR1F	ENSG00000105849	Q3B726
POLR1G	ENSG00000117877	O15446
POLR1H	ENSG00000066379	Q9P1U0
POLR2F	ENSG00000100142	P61218
POLR2K	ENSG00000147669	P53803
PPFIA3	ENSG00000177380	O75145
PRDM10	ENSG00000170325	Q9NQV6
PRMT7	ENSG00000132600	Q9NVM4
PSPC1	ENSG00000121390	Q8WXF1
PTPN13	ENSG00000163629	Q12923
PXMP4	ENSG00000101417	Q9Y6I8
RAE1	ENSG00000101146	P78406
RBFOX1	ENSG00000078328	Q9NWB1
RBM46	ENSG00000151962	Q8TBY0
RBMS2	ENSG00000076067	Q15434
RCAN3	ENSG00000117602	Q9UKA8
RERG	ENSG00000134533	Q96A58
RGS19	ENSG00000171700	P49795
RGS22	ENSG00000132554	Q8NE09
RIMKLA	ENSG00000177181	Q8IXN7
RNMT	ENSG00000101654	O43148
RPAIN	ENSG00000129197	Q86UA6
RPL21	ENSG00000122026	P46778
RPL23A	ENSG00000198242	P62750
RREB1	ENSG00000124782	Q92766
RSAD2	ENSG00000134321	Q8WXG1
RSRC2	ENSG00000111011	Q7L4I2
SAMD14	ENSG00000167100	Q8IZD0
SAP30L	ENSG00000164576	Q9HAJ7
SEC24A	ENSG00000113615	O95486
SEMA6C	ENSG00000143434	Q9H3T2
SESN1	ENSG00000080546	Q9Y6P5
SGMS1	ENSG00000198964	Q86VZ5
SH3PXD2B	ENSG00000174705	A1X283
SIGIRR	ENSG00000185187	Q6IA17
SIMC1	ENSG00000170085	Q8NDZ2
SIRT1	ENSG00000096717	Q96EB6
SMARCA4	ENSG00000127616	P51532
SMARCA5	ENSG00000153147	O60264
SMARCB1	ENSG00000099956	Q12824
SMUG1	ENSG00000123415	Q53HV7
SOWAHB	ENSG00000186212	A6NEL2
SP140	ENSG00000079263	Q13342
SPANXN2	ENSG00000268988	Q5MJ10
SPANXN3	ENSG00000189252	Q5MJ09
SPATA2	ENSG00000158480	Q9UM82
SPECC1	ENSG00000128487	Q5M775
SPNS1	ENSG00000169682	Q9H2V7
ST6GAL2	ENSG00000144057	Q96JF0
STAG2	ENSG00000101972	Q8N3U4
STOX1	ENSG00000165730	Q6ZVD7
SUCO	ENSG00000094975	Q9UBS9
SUPT16H	ENSG00000092201	Q9Y5B9
SUPT20H	ENSG00000102710	Q8NEM7
SYT8	ENSG00000149043	Q8NBV8
SYTL3	ENSG00000164674	Q4VX76
